,0,1,2,3,4
0,Afghanistan,17104,15373,3019,1566
1,Italy,8538,19271,14347,17758
2,Kuwait,947,1997,939,236
3,India,389054,614122,203095,134805
4,South Africa,17945,26746,7945,4902
5,US,65240,123131,62685,73663
6,Bangladesh,47493,76055,23698,12599
7,Brazil,47528,93943,37617,28638
8,United Kingdom,12668,24331,13483,16265
9,Sri Lanka,5442,8254,3869,3377
10,Chile,3931,7966,3569,3186
11,Norway,991,1985,1074,1216
12,New Zealand,987,1729,937,1016
13,Switzerland,1360,3075,1913,2114
14,Ireland,1089,1826,937,919
15,Argentina,11717,18511,6921,6870
16,Australia,5150,9571,4755,5377
17,Canada,6304,13963,7625,9074
18,China,271674,566334,337896,241371
19,Slovenia,324,697,442,549
20,North Macedonia,357,830,421,404
21,Zimbabwe,6504,5951,1160,652
22,Sweden,1871,3507,1937,2565
23,Netherlands,2911,5803,3691,4433
24,Pakistan,80358,93359,24043,14355
