,LocID,Country,VarID,Variant,Time,MidPeriod,PopMale,PopFemale,PopTotal,PopDensity
70,4,Afghanistan,2,Medium,2020,2020.5,19976.265,18952.076,38928.341,59.626999999999995
954,903,Africa,2,Medium,2020,2020.5,669878.34,670719.7729999999,1340598.113,45.216
1838,1823,African Group,2,Medium,2020,2020.5,668995.562,669831.029,1338826.591,45.571000000000005
1989,1560,African Union,2,Medium,2020,2020.5,669307.822,670116.0989999999,1339423.9209999999,45.181999999999995
2140,2080,African Union: Central Africa,2,Medium,2020,2020.5,79260.91,79358.728,158619.638,30.066
2291,2081,African Union: Eastern Africa,2,Medium,2020,2020.5,195662.61800000002,196901.05399999997,392563.672,61.403999999999996
2442,2082,African Union: Northern Africa,2,Medium,2020,2020.5,104150.287,102882.612,207032.89899999998,29.429000000000002
2593,2083,African Union: Southern Africa,2,Medium,2020,2020.5,90292.138,93710.05,184002.188,31.143
2744,2084,African Union: Western Africa,2,Medium,2020,2020.5,199941.86899999998,197263.655,397205.524,78.921
2895,1200,"African, Caribbean and Pacific (ACP) Group of States",2,Medium,2020,2020.5,588776.009,590903.897,1179679.906,48.849
3046,8,Albania,2,Medium,2020,2020.5,1464.714,1413.086,2877.8,105.029
3930,12,Algeria,2,Medium,2020,2020.5,22153.807999999997,21697.235,43851.043,18.410999999999998
4814,16,American Samoa,2,Medium,2020,2020.5,,,55.196999999999996,275.985
5698,1533,Andean Community,2,Medium,2020,2020.5,56045.015999999996,57125.803,113170.819,30.413
5849,20,Andorra,2,Medium,2020,2020.5,,,77.265,164.394
6733,24,Angola,2,Medium,2020,2020.5,16260.87,16605.398,32866.268,26.363000000000003
7617,660,Anguilla,2,Medium,2020,2020.5,,,15.002,166.68900000000002
8501,28,Antigua and Barbuda,2,Medium,2020,2020.5,47.269,50.659,97.928,222.56400000000002
9385,32,Argentina,2,Medium,2020,2020.5,22049.146,23146.631,45195.777,16.515
10269,51,Armenia,2,Medium,2020,2020.5,1393.747,1569.487,2963.2340000000004,104.083
11153,533,Aruba,2,Medium,2020,2020.5,50.641999999999996,56.123999999999995,106.766,593.144
12037,935,Asia,2,Medium,2020,2020.5,2373462.035,2267592.751,4641054.786,149.55200000000002
12921,1207,Asia-Pacific Economic Cooperation (APEC),2,Medium,2020,2020.5,1494842.389,1477407.093,2972249.482,49.426
13072,1824,Asia-Pacific Group,2,Medium,2020,2020.5,2364058.09,2257624.14,4621682.23,147.46
13223,1557,Association of Southeast Asian Nations (ASEAN),2,Medium,2020,2020.5,333265.465,334035.947,667301.412,154.26
13374,36,Australia,2,Medium,2020,2020.5,12698.625,12801.256000000001,25499.881,3.319
14258,927,Australia/New Zealand,2,Medium,2020,2020.5,15068.788,15253.326000000001,30322.113999999998,3.8160000000000003
15142,40,Austria,2,Medium,2020,2020.5,4439.691,4566.709,9006.4,109.289
16026,31,Azerbaijan,2,Medium,2020,2020.5,5064.664000000001,5074.5109999999995,10139.175,122.664
16910,1525,BRIC,2,Medium,2020,2020.5,1627424.392,1550397.636,3177822.028,85.664
17061,1526,BRICS,2,Medium,2020,2020.5,1656640.404,1580490.314,3237130.7180000003,84.499
17212,44,Bahamas,2,Medium,2020,2020.5,191.093,202.155,393.24800000000005,39.286
18096,48,Bahrain,2,Medium,2020,2020.5,1100.474,601.109,1701.5829999999999,2238.925
18980,50,Bangladesh,2,Medium,2020,2020.5,83259.108,81430.275,164689.383,1265.187
