,Country,new_labconf,c_newinc
0,Afghanistan,0.0,71685.0
1,Afghanistan,0.0,71554.0
2,Afghanistan,0.0,41752.0
3,Afghanistan,0.0,52502.0
4,Afghanistan,0.0,18784.0
5,Afghanistan,0.0,10742.0
6,Afghanistan,0.0,14351.0
7,Afghanistan,0.0,18091.0
8,Afghanistan,0.0,16051.0
9,Afghanistan,0.0,14386.0
10,Afghanistan,0.0,4332.0
11,Afghanistan,0.0,23067.0
12,Afghanistan,0.0,0.0
13,Afghanistan,0.0,0.0
14,Afghanistan,0.0,0.0
15,Afghanistan,0.0,0.0
16,Afghanistan,0.0,0.0
17,Afghanistan,0.0,1290.0
18,Afghanistan,0.0,3084.0
19,Afghanistan,0.0,3314.0
20,Afghanistan,0.0,7107.0
21,Afghanistan,0.0,10139.0
22,Afghanistan,6509.0,13794.0
23,Afghanistan,6510.0,13808.0
24,Afghanistan,8273.0,18404.0
25,Afghanistan,9949.0,21844.0
26,Afghanistan,12468.0,25475.0
27,Afghanistan,13213.0,28769.0
28,Afghanistan,13136.0,28301.0
29,Afghanistan,12497.0,26150.0
30,Afghanistan,0.0,28029.0
31,Afghanistan,0.0,27983.0
32,Afghanistan,13319.0,28679.0
33,Afghanistan,14277.0,30507.0
34,Afghanistan,14737.0,31746.0
35,Afghanistan,16525.0,35878.0
36,Afghanistan,18382.0,41954.0
37,Afghanistan,19479.0,46640.0
38,Afghanistan,20485.0,48420.0
39,Albania,0.0,1050.0
40,Albania,0.0,954.0
41,Albania,0.0,978.0
42,Albania,0.0,891.0
43,Albania,0.0,975.0
44,Albania,0.0,916.0
45,Albania,0.0,989.0
46,Albania,0.0,915.0
47,Albania,0.0,759.0
48,Albania,0.0,695.0
49,Albania,0.0,653.0
50,Albania,0.0,628.0
51,Albania,0.0,0.0
52,Albania,0.0,0.0
53,Albania,0.0,707.0
54,Albania,0.0,641.0
55,Albania,0.0,738.0
56,Albania,0.0,655.0
57,Albania,0.0,694.0
58,Albania,0.0,733.0
59,Albania,0.0,604.0
60,Albania,0.0,555.0
61,Albania,259.0,594.0
62,Albania,242.0,555.0
63,Albania,224.0,547.0
64,Albania,215.0,506.0
65,Albania,197.0,469.0
66,Albania,179.0,438.0
67,Albania,0.0,427.0
68,Albania,204.0,445.0
69,Albania,245.0,431.0
70,Albania,180.0,422.0
71,Albania,185.0,408.0
72,Albania,196.0,474.0
73,Albania,159.0,408.0
74,Albania,193.0,415.0
75,Albania,200.0,415.0
76,Albania,195.0,503.0
77,Albania,198.0,440.0
78,Algeria,0.0,2702.0
79,Algeria,0.0,0.0
80,Algeria,0.0,13916.0
81,Algeria,0.0,13681.0
82,Algeria,0.0,13133.0
83,Algeria,0.0,13832.0
84,Algeria,0.0,12917.0
85,Algeria,0.0,11212.0
86,Algeria,0.0,11325.0
87,Algeria,0.0,11039.0
88,Algeria,0.0,11607.0
89,Algeria,0.0,11332.0
90,Algeria,0.0,11428.0
91,Algeria,0.0,13345.0
92,Algeria,0.0,13345.0
93,Algeria,0.0,13507.0
94,Algeria,0.0,15329.0
95,Algeria,0.0,16522.0
96,Algeria,0.0,15324.0
97,Algeria,0.0,16647.0
98,Algeria,0.0,18572.0
99,Algeria,0.0,18250.0
100,Algeria,8506.0,18934.0
101,Algeria,8924.0,19730.0
102,Algeria,8930.0,19929.0
103,Algeria,8921.0,21336.0
104,Algeria,8737.0,21143.0
105,Algeria,8608.0,21369.0
106,Algeria,0.0,20588.0
107,Algeria,8626.0,21701.0
108,Algeria,8529.0,22336.0
109,Algeria,8026.0,21429.0
110,Algeria,7865.0,21880.0
111,Algeria,7489.0,20701.0
112,Algeria,7206.0,22517.0
113,Algeria,6925.0,23705.0
114,Algeria,6822.0,22801.0
115,Algeria,6278.0,23077.0
116,Algeria,6158.0,23465.0
117,American Samoa,0.0,2.0
118,American Samoa,0.0,6.0
119,American Samoa,0.0,6.0
120,American Samoa,0.0,8.0
121,American Samoa,0.0,12.0
122,American Samoa,0.0,5.0
123,American Samoa,0.0,8.0
124,American Samoa,0.0,9.0
125,American Samoa,0.0,13.0
126,American Samoa,0.0,5.0
127,American Samoa,0.0,9.0
128,American Samoa,0.0,3.0
129,American Samoa,0.0,1.0
130,American Samoa,0.0,4.0
131,American Samoa,0.0,4.0
132,American Samoa,0.0,0.0
133,American Samoa,0.0,0.0
134,American Samoa,0.0,6.0
135,American Samoa,0.0,3.0
136,American Samoa,0.0,4.0
137,American Samoa,0.0,3.0
138,American Samoa,0.0,3.0
139,American Samoa,0.0,2.0
140,American Samoa,0.0,3.0
141,American Samoa,2.0,5.0
142,American Samoa,3.0,6.0
143,American Samoa,3.0,4.0
144,American Samoa,0.0,3.0
145,American Samoa,0.0,3.0
146,American Samoa,0.0,4.0
147,American Samoa,0.0,4.0
148,American Samoa,0.0,3.0
149,American Samoa,0.0,0.0
150,American Samoa,0.0,0.0
151,American Samoa,0.0,0.0
152,American Samoa,4.0,4.0
153,American Samoa,0.0,0.0
154,American Samoa,3.0,5.0
155,American Samoa,0.0,0.0
156,Andorra,0.0,0.0
157,Andorra,0.0,0.0
158,Andorra,0.0,0.0
159,Andorra,0.0,0.0
160,Andorra,0.0,0.0
161,Andorra,0.0,0.0
162,Andorra,0.0,0.0
163,Andorra,0.0,0.0
164,Andorra,0.0,0.0
165,Andorra,0.0,12.0
166,Andorra,0.0,23.0
167,Andorra,0.0,24.0
168,Andorra,0.0,21.0
169,Andorra,0.0,15.0
170,Andorra,0.0,24.0
171,Andorra,0.0,0.0
172,Andorra,0.0,17.0
173,Andorra,0.0,19.0
174,Andorra,0.0,8.0
175,Andorra,0.0,10.0
176,Andorra,0.0,12.0
177,Andorra,0.0,10.0
178,Andorra,3.0,5.0
179,Andorra,7.0,11.0
180,Andorra,4.0,7.0
181,Andorra,6.0,10.0
182,Andorra,8.0,12.0
183,Andorra,3.0,5.0
184,Andorra,3.0,4.0
185,Andorra,3.0,8.0
186,Andorra,4.0,7.0
187,Andorra,2.0,3.0
188,Andorra,4.0,9.0
189,Andorra,4.0,5.0
190,Andorra,3.0,6.0
191,Andorra,2.0,4.0
192,Andorra,2.0,4.0
193,Andorra,1.0,1.0
194,Andorra,2.0,2.0
195,Angola,0.0,10117.0
196,Angola,0.0,7501.0
197,Angola,0.0,7911.0
198,Angola,0.0,6625.0
199,Angola,0.0,10153.0
200,Angola,0.0,8653.0
201,Angola,0.0,9363.0
202,Angola,0.0,8510.0
203,Angola,0.0,8184.0
204,Angola,0.0,9587.0
205,Angola,0.0,10271.0
206,Angola,0.0,11134.0
207,Angola,0.0,11272.0
208,Angola,0.0,8269.0
209,Angola,0.0,7157.0
210,Angola,0.0,5143.0
211,Angola,0.0,15424.0
212,Angola,0.0,15066.0
213,Angola,0.0,14296.0
214,Angola,0.0,14235.0
215,Angola,0.0,16062.0
216,Angola,266.0,21713.0
217,Angola,18087.0,29996.0
218,Angola,0.0,36079.0
219,Angola,20301.0,35437.0
220,Angola,20410.0,37175.0
221,Angola,21499.0,50419.0
222,Angola,21422.0,41292.0
223,Angola,26146.0,44576.0
224,Angola,22488.0,41221.0
225,Angola,21146.0,44655.0
226,Angola,21703.0,47240.0
227,Angola,21124.0,51819.0
228,Angola,21661.0,58607.0
229,Angola,22046.0,53552.0
230,Angola,23643.0,59705.0
231,Angola,24603.0,59513.0
232,Angola,24490.0,54401.0
233,Angola,31098.0,66189.0
